label,phase,epoch,loss,matrix,layer,head,shape,cond,eff_rank_50,spectral_entropy,norm_entropy,sv_max,sv_min,sv_mean
w64_ep7_m1,w64,7,6.092,Q,5,1,"(256, 64)",2.9091291427612305,26,4.124141693115234,0.991646461430127,2.9141104221343994,1.0017123222351074,1.916717767715454
w64_ep7_m1,w64,7,6.092,Q,5,2,"(256, 64)",2.9153618812561035,26,4.122534275054932,0.991259959086088,2.9533004760742188,1.0130133628845215,1.9563181400299072
w64_ep7_m1,w64,7,6.092,Q,5,3,"(256, 64)",2.764876127243042,26,4.125060558319092,0.9918674018089355,2.908170461654663,1.0518267154693604,1.9348859786987305
w64_ep7_m1,w64,7,6.092,K,5,0,"(256, 64)",2.8380980491638184,26,4.124472141265869,0.9917259174148256,2.950019121170044,1.0394352674484253,1.953787922859192
w64_ep7_m1,w64,7,6.092,K,5,1,"(256, 64)",2.823253631591797,26,4.123077392578125,0.9913905512456432,2.9634909629821777,1.049672245979309,1.904126763343811
w64_ep7_m1,w64,7,6.092,K,5,2,"(256, 64)",2.7580525875091553,25,4.122983932495117,0.9913680788459305,2.9111104011535645,1.0554949045181274,1.9225163459777832
w64_ep7_m1,w64,7,6.092,K,5,3,"(256, 64)",2.8136255741119385,26,4.124484062194824,0.9917287837923401,2.866199016571045,1.0186853408813477,1.9218246936798096
w64_ep7_m1,w64,7,6.092,V,5,0,"(256, 64)",2.818899393081665,26,4.123851299285889,0.9915766364738767,2.981884717941284,1.0578187704086304,1.9298295974731445
w64_ep7_m1,w64,7,6.092,V,5,1,"(256, 64)",2.9680705070495605,26,4.123442649841309,0.9914783770526838,2.9514122009277344,0.9943875074386597,1.923523187637329
w64_ep7_m1,w64,7,6.092,V,5,2,"(256, 64)",2.9078426361083984,25,4.122842788696289,0.9913341409361602,2.9230051040649414,1.0052143335342407,1.9290175437927246
w64_ep7_m1,w64,7,6.092,V,5,3,"(256, 64)",3.123878002166748,26,4.123532772064209,0.9915000468666926,2.959527015686035,0.9473888278007507,1.9328502416610718
